genre,median_roi,n,parent_genre
War,-14.19112557,114,
War Epic,169.0679984848485,13,
Water Sport,33.08264958333333,4,
Werewolf Horror,14.899684333333326,6,
Western,-35.2213,39,
Western Epic,137.0822249351852,4,
Whodunnit,143.07855,37,
Witch Horror,159.18774583333337,10,
Workplace Drama,221.816235,23,
Wuxia,-4.243586667,4,
Zombie Horror,175.65750240131578,18,
